NAME,INSTALLED,FIXED-IN,TYPE,VULNERABILITY,SEVERITY
bash,5.1-6ubuntu1,5.1-6ubuntu1.1,deb,CVE-2022-3715,Medium
bsdutils,1:2.37.2-4ubuntu3,2.37.2-4ubuntu3.3,deb,CVE-2024-28085,Medium
coreutils,8.32-4.1ubuntu1.1,Not Fixed,deb,CVE-2016-2781,Low
gcc-12-base,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2023-4039,Medium
gcc-12-base,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
gpgv,2.2.27-3ubuntu2.1,Not Fixed,deb,CVE-2022-3219,Low
libblkid1,2.37.2-4ubuntu3,2.37.2-4ubuntu3.3,deb,CVE-2024-28085,Medium
libc-bin,2.35-0ubuntu3.6,2.35-0ubuntu3.8,deb,CVE-2024-33602,Medium
libc-bin,2.35-0ubuntu3.6,2.35-0ubuntu3.8,deb,CVE-2024-33601,Medium
libc-bin,2.35-0ubuntu3.6,2.35-0ubuntu3.8,deb,CVE-2024-33600,Medium
libc-bin,2.35-0ubuntu3.6,2.35-0ubuntu3.8,deb,CVE-2024-33599,Medium
libc-bin,2.35-0ubuntu3.6,2.35-0ubuntu3.7,deb,CVE-2024-2961,Medium
libc-bin,2.35-0ubuntu3.6,Not Fixed,deb,CVE-2016-20013,Negligible
libc6,2.35-0ubuntu3.6,2.35-0ubuntu3.8,deb,CVE-2024-33602,Medium
libc6,2.35-0ubuntu3.6,2.35-0ubuntu3.8,deb,CVE-2024-33601,Medium
libc6,2.35-0ubuntu3.6,2.35-0ubuntu3.8,deb,CVE-2024-33600,Medium
libc6,2.35-0ubuntu3.6,2.35-0ubuntu3.8,deb,CVE-2024-33599,Medium
libc6,2.35-0ubuntu3.6,2.35-0ubuntu3.7,deb,CVE-2024-2961,Medium
libc6,2.35-0ubuntu3.6,Not Fixed,deb,CVE-2016-20013,Negligible
libgcc-s1,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2023-4039,Medium
libgcc-s1,12.3.0-1ubuntu1~22.04,Not Fixed,deb,CVE-2022-27943,Low
libgcrypt20,1.9.4-3ubuntu3,Not Fixed,deb,CVE-2024-2236,Medium
libgnutls30,3.7.3-4ubuntu1.4,3.7.3-4ubuntu1.5,deb,CVE-2024-28835,Medium
libgnutls30,3.7.3-4ubuntu1.4,3.7.3-4ubuntu1.5,deb,CVE-2024-28834,Medium
libgssapi-krb5-2,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libgssapi-krb5-2,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libgssapi-krb5-2,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
libk5crypto3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libk5crypto3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libk5crypto3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
libkrb5-3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26462,Medium
libkrb5-3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26461,Low
libkrb5-3,1.19.2-2ubuntu0.3,Not Fixed,deb,CVE-2024-26458,Negligible
